Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8544054,20231213194908.280000000,20231213124908.280000000,1702496948280,5.344270E+3,3.042208E-17,1.976290E-16,9.734230E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8544067,20231213194959.149999999,20231213124959.149999999,1702496999150,6.390600E+3,2.770194E-17,2.574670E-16,9.435004E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544070,20231213195004.356999999,20231213125004.356999999,1702497004357,9.646480E+3,1.965678E-17,4.160400E-16,8.415426E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544074,20231213195012.685999999,20231213125012.685999999,1702497012686,1.306930E+4,1.698905E-17,6.603920E-16,8.016073E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544077,20231213195023.246000000,20231213125023.246000000,1702497023246,7.341280E+3,1.987839E-17,2.435380E-16,8.446933E-8,2.199524E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8544078,20231213195023.455000000,20231213125023.455000000,1702497023455,4.929980E+3,3.727583E-17,2.059490E-16,1.041632E-7,2.199524E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544092,20231213195109.543000000,20231213125109.543000000,1702497069543,2.585320E+3,8.095675E-16,1.231430E-15,2.906183E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544094,20231213195111.831000000,20231213125111.831000000,1702497071831,6.226610E+3,3.213190E-17,2.833510E-16,9.913282E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544095,20231213195114.912999999,20231213125114.912999999,1702497074913,2.540920E+3,6.572969E-16,9.652250E-16,2.711185E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544101,20231213195137.660000000,20231213125137.660000000,1702497097660,1.168640E+4,6.550836E-18,2.036040E-16,5.834508E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
