,Time [us],Combined TOF [pC/dt]
4569,1.9692307692307711,-0.00035041187585666423
4570,1.9730769230769223,-0.00025760937814924803
4571,1.976923076923077,-0.0002642087907563928
4572,1.9807692307692317,-0.00020466488336032132
4573,1.9846153846153864,-0.0003438494264427377
4574,1.9884615384615376,-0.00048310819128552594
4575,1.9923076923076923,-0.0004568959499647884
4576,1.996153846153847,-0.00039764847534590566
4577,2.0000000000000018,-0.0002722565410819616
4578,2.003846153846153,-0.00018004692160946334
4579,2.0076923076923077,-0.00018723739214534618
4580,2.0115384615384624,-0.0002276097286800741
4581,2.015384615384617,-0.0002680547079817082
4582,2.0192307692307683,-0.00024235410758333608
4583,2.023076923076923,-0.0001836167057844289
4584,2.0269230769230777,-9.184228164882749e-05
4585,2.0307692307692324,-6.635761499643959e-05
4586,2.0346153846153836,5.838251359465644e-05
4587,2.0384615384615383,0.00024926932279651054
4588,2.042307692307693,0.0003076490305317576
4589,2.0461538461538478,0.0002997398539770881
4590,2.049999999999999,0.00025865100956922577
4591,2.0538461538461537,0.0002837097130035933
4592,2.0576923076923084,0.0003086981792421765
4593,2.061538461538463,0.0003998346225148467
4594,2.0653846153846143,0.0005571192563205512
4595,2.069230769230769,0.0006812252934346329
4596,2.0730769230769237,0.0007390439459092212
4597,2.0769230769230784,0.0007636844250771427
4598,2.0807692307692296,0.0008544739415550558
4599,2.0846153846153843,0.0008789767052466565
4600,2.088461538461539,0.0008371929253450097
4601,2.0923076923076938,0.0008284498103383231
4602,2.096153846153845,0.0008527475680090977
4603,2.0999999999999996,0.0008107594054385407
4604,2.1038461538461544,0.0007687035290140176
4605,2.107692307692309,0.0007596891444237208
4606,2.1115384615384603,0.0009161524566667694
4607,2.115384615384615,0.001039439670052358
4608,2.1192307692307697,0.0009971149882057957
4609,2.1230769230769244,0.0009216146140677219
4610,2.126923076923079,0.0009122657498988967
4611,2.1307692307692303,0.000869741597285603
4612,2.134615384615385,0.0008602603571356861
4613,2.1384615384615397,0.000817604229689474
4614,2.1423076923076945,0.0009073184145176826
4615,2.1461538461538456,0.0008645311105254295
4616,2.1500000000000004,0.0007554605159557871
4617,2.153846153846155,0.0006463248283893142
4618,2.15769230769231,0.0007688872447531416
4619,2.161538461538461,0.0007920579613174882
4620,2.1653846153846157,0.0008482731737009554
4621,2.1692307692307704,0.0010368600768749677
4622,2.173076923076925,0.0011591648651622822
4623,2.1769230769230763,0.001215187732244533
4624,2.180769230769231,0.0011387108711600853
4625,2.1846153846153857,0.0010290614743108716
4626,2.1884615384615405,0.0009524577334626503
4627,2.1923076923076916,0.0008757908397488293
4628,2.1961538461538463,0.0008983879836707174
4629,2.200000000000001,0.0009540313551036467
4630,2.203846153846156,0.0010427211432966093
4631,2.207692307692307,0.0009326945368777848
4632,2.2115384615384617,0.0009219327238535547
4633,2.2153846153846164,0.0010104358916127778
4634,2.219230769230771,0.001032659226930497
4635,2.2230769230769223,0.0010879299159692636
4636,2.226923076923077,0.0010769211442799357
4637,2.2307692307692317,0.001198287096808136
